promptID,pairID,premise,premise_binary_parse,premise_parse,hypothesis,hypothesis_binary_parse,hypothesis_parse,genre,label
31193,31193n,Conceptually cream skimming has two basic dimensions - product and geography.,( ( Conceptually ( cream skimming ) ) ( ( has ( ( ( two ( basic dimensions ) ) - ) ( ( product and ) geography ) ) ) . ) ),(ROOT (S (NP (JJ Conceptually) (NN cream) (NN skimming)) (VP (VBZ has) (NP (NP (CD two) (JJ basic) (NNS dimensions)) (: -) (NP (NN product) (CC and) (NN geography)))) (. .))),Product and geography are what make cream skimming work. ,( ( ( Product and ) geography ) ( ( are ( what ( make ( cream ( skimming work ) ) ) ) ) . ) ),(ROOT (S (NP (NN Product) (CC and) (NN geography)) (VP (VBP are) (SBAR (WHNP (WP what)) (S (VP (VBP make) (NP (NP (NN cream)) (VP (VBG skimming) (NP (NN work)))))))) (. .))),government,1
101457,101457e,you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him,( you ( ( know ( during ( ( ( the season ) and ) ( i guess ) ) ) ) ( at ( at ( ( your level ) ( uh ( you ( ( ( lose them ) ( to ( the ( next level ) ) ) ) ( if ( ( if ( they ( decide ( to ( recall ( the ( the ( parent team ) ) ) ) ) ) ) ) ( ( the Braves ) ( decide ( to ( call ( to ( ( recall ( a guy ) ) ( from ( ( triple A ) ( ( ( then ( ( a ( double ( A guy ) ) ) ( ( goes up ) ( to ( replace him ) ) ) ) ) and ) ( ( a ( single ( A guy ) ) ) ( ( goes up ) ( to ( replace him ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),(ROOT (S (NP (PRP you)) (VP (VBP know) (PP (IN during) (NP (NP (DT the) (NN season)) (CC and) (NP (FW i) (FW guess)))) (PP (IN at) (IN at) (NP (NP (PRP$ your) (NN level)) (SBAR (S (INTJ (UH uh)) (NP (PRP you)) (VP (VBP lose) (NP (PRP them)) (PP (TO to) (NP (DT the) (JJ next) (NN level))) (SBAR (IN if) (S (SBAR (IN if) (S (NP (PRP they)) (VP (VBP decide) (S (VP (TO to) (VP (VB recall) (NP (DT the) (DT the) (NN parent) (NN team)))))))) (NP (DT the) (NNPS Braves)) (VP (VBP decide) (S (VP (TO to) (VP (VB call) (S (VP (TO to) (VP (VB recall) (NP (DT a) (NN guy)) (PP (IN from) (NP (NP (RB triple) (DT A)) (SBAR (S (S (ADVP (RB then)) (NP (DT a) (JJ double) (NNP A) (NN guy)) (VP (VBZ goes) (PRT (RP up)) (S (VP (TO to) (VP (VB replace) (NP (PRP him))))))) (CC and) (S (NP (DT a) (JJ single) (NNP A) (NN guy)) (VP (VBZ goes) (PRT (RP up)) (S (VP (TO to) (VP (VB replace) (NP (PRP him)))))))))))))))))))))))))))),You lose the things to the following level if the people recall.,( You ( ( ( ( lose ( the things ) ) ( to ( the ( following level ) ) ) ) ( if ( ( the people ) recall ) ) ) . ) ),(ROOT (S (NP (PRP You)) (VP (VBP lose) (NP (DT the) (NNS things)) (PP (TO to) (NP (DT the) (JJ following) (NN level))) (SBAR (IN if) (S (NP (DT the) (NNS people)) (VP (VBP recall))))) (. .))),telephone,0
134793,134793e,One of our number will carry out your instructions minutely.,( ( One ( of ( our number ) ) ) ( ( will ( ( ( carry out ) ( your instructions ) ) minutely ) ) . ) ),(ROOT (S (NP (NP (CD One)) (PP (IN of) (NP (PRP$ our) (NN number)))) (VP (MD will) (VP (VB carry) (PRT (RP out)) (NP (PRP$ your) (NNS instructions)) (ADVP (RB minutely)))) (. .))),A member of my team will execute your orders with immense precision.,( ( ( A member ) ( of ( my team ) ) ) ( ( will ( ( execute ( your orders ) ) ( with ( immense precision ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN member)) (PP (IN of) (NP (PRP$ my) (NN team)))) (VP (MD will) (VP (VB execute) (NP (PRP$ your) (NNS orders)) (PP (IN with) (NP (JJ immense) (NN precision))))) (. .))),fiction,0
37397,37397e,How do you know? All this is their information again.,( ( How ( ( ( do you ) know ) ? ) ) ( ( All this ) ( ( ( is ( their information ) ) again ) . ) ) ),(ROOT (S (SBARQ (WHADVP (WRB How)) (SQ (VBP do) (NP (PRP you)) (VP (VB know))) (. ?)) (NP (PDT All) (DT this)) (VP (VBZ is) (NP (PRP$ their) (NN information)) (ADVP (RB again))) (. .))),This information belongs to them.,( ( This information ) ( ( belongs ( to them ) ) . ) ),(ROOT (S (NP (DT This) (NN information)) (VP (VBZ belongs) (PP (TO to) (NP (PRP them)))) (. .))),fiction,0
50563,50563n,yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range,( yeah ( i ( ( tell you ) ( what ( ( though ( if ( you ( go ( price ( some ( of ( those ( tennis shoes ) ) ) ) ) ) ) ) ) ( i ( can ( see ( why ( now ( you ( know ( they ( 're ( ( getting up ) ( in ( the ( hundred ( dollar range ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),(ROOT (S (VP (VB yeah) (S (NP (FW i)) (VP (VB tell) (NP (PRP you)) (SBAR (WHNP (WP what)) (S (SBAR (RB though) (IN if) (S (NP (PRP you)) (VP (VBP go) (VP (VB price) (NP (NP (DT some)) (PP (IN of) (NP (DT those) (NN tennis) (NNS shoes)))))))) (NP (FW i)) (VP (MD can) (VP (VB see) (SBAR (WHADVP (WRB why)) (S (ADVP (RB now)) (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (VBP 're) (VP (VBG getting) (PRT (RP up)) (PP (IN in) (NP (DT the) (CD hundred) (NN dollar) (NN range))))))))))))))))))),The tennis shoes have a range of prices.,( ( The ( tennis shoes ) ) ( ( have ( ( a range ) ( of prices ) ) ) . ) ),(ROOT (S (NP (DT The) (NN tennis) (NNS shoes)) (VP (VBP have) (NP (NP (DT a) (NN range)) (PP (IN of) (NP (NNS prices))))) (. .))),telephone,1
110116,110116e,my walkman broke so i'm upset now i just have to turn the stereo up real loud,( ( my walkman ) ( broke ( so ( i ( 'm ( upset ( now ( i ( just ( have ( to ( ( turn ( the stereo ) ) ( up ( real loud ) ) ) ) ) ) ) ) ) ) ) ) ) ),(ROOT (S (NP (PRP$ my) (NN walkman)) (VP (VBD broke) (SBAR (IN so) (S (NP (FW i)) (VP (VBP 'm) (ADJP (VBN upset) (SBAR (RB now) (S (NP (FW i)) (ADVP (RB just)) (VP (VBP have) (S (VP (TO to) (VP (VB turn) (NP (DT the) (NN stereo)) (ADVP (RB up) (RB real) (JJ loud))))))))))))))),I'm upset that my walkman broke and now I have to turn the stereo up really loud.,( ( ( ( I ( 'm ( upset ( that ( ( my walkman ) broke ) ) ) ) ) and ) ( now ( I ( have ( to ( ( turn ( the stereo ) ) ( up ( really loud ) ) ) ) ) ) ) ) . ),(ROOT (S (S (NP (PRP I)) (VP (VBP 'm) (ADJP (VBN upset) (SBAR (IN that) (S (NP (PRP$ my) (NN walkman)) (VP (VBD broke))))))) (CC and) (S (ADVP (RB now)) (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB turn) (NP (DT the) (NN stereo)) (ADVP (RB up) (RB really) (JJ loud))))))) (. .))),telephone,0
42487,42487n,"But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right (his companion Michael, to the left, has vanished save for a few feathers from his wings).","( But ( ( a ( few ( Christian mosaics ) ) ) ( ( survive ( above ( ( the apse ) ( ( ( is ( ( the Virgin ) ( with ( the ( infant Jesus ) ) ) ) ) , ) ( with ( ( ( the ( Archangel Gabriel ) ) ( to ( the right ) ) ) ( -LRB- ( ( ( his companion ) ( ( ( ( Michael , ) ( to ( the left ) ) ) , ) ( has ( vanished ( save ( for ( ( a ( few feathers ) ) ( from ( his wings ) ) ) ) ) ) ) ) ) -RRB- ) ) ) ) ) ) ) ) . ) ) )","(ROOT (S (CC But) (NP (DT a) (JJ few) (JJ Christian) (NNS mosaics)) (VP (VBP survive) (PP (IN above) (NP (NP (DT the) (NN apse)) (SBAR (S (VP (VBZ is) (NP (NP (DT the) (NN Virgin)) (PP (IN with) (NP (DT the) (JJ infant) (NN Jesus)))) (, ,) (PP (IN with) (NP (NP (DT the) (NNP Archangel) (NNP Gabriel)) (PP (TO to) (NP (DT the) (NN right))) (PRN (-LRB- -LRB-) (NP (NP (PRP$ his) (NN companion)) (SBAR (S (NP (NP (NNP Michael)) (, ,) (PP (TO to) (NP (DT the) (NN left))) (, ,)) (VP (VBZ has) (VP (VBN vanished) (S (VP (VB save) (PP (IN for) (NP (NP (DT a) (JJ few) (NNS feathers)) (PP (IN from) (NP (PRP$ his) (NNS wings)))))))))))) (-RRB- -RRB-)))))))))) (. .)))",Most of the Christian mosaics were destroyed by Muslims.  ,( ( Most ( of ( the ( Christian mosaics ) ) ) ) ( ( were ( destroyed ( by Muslims ) ) ) . ) ),(ROOT (S (NP (NP (JJS Most)) (PP (IN of) (NP (DT the) (JJ Christian) (NNS mosaics)))) (VP (VBD were) (VP (VBN destroyed) (PP (IN by) (NP (NNPS Muslims))))) (. .))),travel,1
1069,1069e,(Read  for Slate 's take on Jackson's findings.),( -LRB- ( ( ( Read ( for ( ( ( Slate 's ) take ) ( on ( ( Jackson 's ) findings ) ) ) ) ) . ) -RRB- ) ),(ROOT (S (-LRB- -LRB-) (VP (VB Read) (PP (IN for) (NP (NP (NP (NNP Slate) (POS 's)) (NN take)) (PP (IN on) (NP (NP (NNP Jackson) (POS 's)) (NNS findings)))))) (. .) (-RRB- -RRB-))),Slate had an opinion on Jackson's findings.,( Slate ( ( had ( ( an opinion ) ( on ( ( Jackson 's ) findings ) ) ) ) . ) ),(ROOT (S (NP (NNP Slate)) (VP (VBD had) (NP (NP (DT an) (NN opinion)) (PP (IN on) (NP (NP (NNP Jackson) (POS 's)) (NNS findings))))) (. .))),slate,0
23505,23505c,Gays and lesbians.,( ( ( Gays and ) lesbians ) . ),(ROOT (NP (NP (NP (NNS Gays)) (CC and) (NP (NNS lesbians))) (. .))),Heterosexuals.,( Heterosexuals . ),(ROOT (NP (NNS Heterosexuals) (. .))),slate,2
60529,60529c,"At the end of Rue des Francs-Bourgeois is what many consider to be the city's most handsome residential square, the Place des Vosges, with its stone and red brick facades.","( ( At ( ( the end ) ( of Rue ) ) ) ( ( des Francs-Bourgeois ) ( ( is ( what ( many ( consider ( to ( ( be ( ( ( ( ( the ( city 's ) ) ( ( most handsome ) ( residential square ) ) ) , ) ( the ( Place ( des Vosges ) ) ) ) , ) ) ( with ( its ( stone ( and ( red ( brick facades ) ) ) ) ) ) ) ) ) ) ) ) . ) ) )","(ROOT (S (PP (IN At) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (NNP Rue))))) (NP (NNP des) (NNP Francs-Bourgeois)) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (DT many)) (VP (VBP consider) (S (VP (TO to) (VP (VB be) (NP (NP (NP (DT the) (NN city) (POS 's)) (ADJP (RBS most) (JJ handsome)) (JJ residential) (NN square)) (, ,) (NP (DT the) (NNP Place) (NNP des) (NNPS Vosges)) (, ,)) (PP (IN with) (NP (PRP$ its) (NN stone) (CC and) (JJ red) (NN brick) (NNS facades)))))))))) (. .)))",Place des Vosges is constructed entirely of gray marble.,( ( Place ( des Vosges ) ) ( ( is ( ( constructed entirely ) ( of ( gray marble ) ) ) ) . ) ),(ROOT (S (NP (NNP Place) (FW des) (NNP Vosges)) (VP (VBZ is) (VP (VBN constructed) (ADVP (RB entirely)) (PP (IN of) (NP (JJ gray) (NN marble))))) (. .))),travel,2
