text,span1_index,span2_index,span1_text,span2_text,idx,label
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.",0,13,Mark,He,0,0
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.",1,25,mothers,them,1,0
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over",4,8,Mr. Singer,He,2,0
"The pony behaved well, sir, and showed no vice; but at last he just threw up his heels and tipped the young gentleman into the thorn hedge. He wanted me to help him out, but I hope you will excuse me, sir, I did not feel inclined to do so.",21,27,young gentleman,He,3,1
I poured water from the bottle into the cup until it was full.,7,10,the cup,it,4,1
Dan had to stop Bill from toying with the injured bird. He is very compassionate.,0,11,Dan,He,5,1
Sam Goodman 's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.,1,16,Goodman,he,6,0
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.",0,13,Pam's parents,They,7,1
"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very hurt.",0,16,Bob,He,8,1
Billy cried because Toby wouldn't share his toy.,3,6,Toby,his,9,1
Emma did not pass the ball to Janie although she was open.,7,9,Janie,she,10,1
Sam's drawing was hung just above Tina's and it did look much better with another one below it.,0,8,Sam's drawing,it,11,1
"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very ungrateful.",0,16,Bob,He,12,0
"The lawyer asked the witness a question, but he was reluctant to answer it.",0,8,the lawyer,he,13,0
"Sam took French classes from Adam , because he was eager to speak it fluently.",0,8,Sam,he,14,1
Sid explained his theory to Mark but he couldn't convince him.,5,7,Mark,he,15,0
The city councilmen refused the demonstrators a permit because they advocated violence.,4,9,The demonstrators,they,16,1
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.",6,11,Timmy,him,17,0
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",17,57,the master,he,18,0
"The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.",0,9,The journalists,They,19,0
Joan made sure to thank Susan for all the help she had given.,5,10,Susan,she,20,1
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.",10,20,The roof,it,21,1
"Beth didn't get angry with Sally , who had cut her off, because she stopped and counted to ten.",0,13,Beth,she,22,1
"The lawyer asked the witness a question, but he was reluctant to repeat it.",0,8,the lawyer,he,23,1
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place",8,53,new groom,his,24,0
"Since it was raining, I carried the newspaper over my backpack to keep it dry.",6,13,The newspaper,it,25,0
"If the con artist has succeeded in fooling Sam , he would have gotten a lot of money.",1,10,The con artist,he,26,1
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. ""Served him right,"" he said.",6,21,pony,him,27,0
I put the cake away in the refrigerator . It has a lot of leftovers in it.,2,9,The cake,It,28,0
The fish ate the worm . It was tasty.,3,6,The worm,It,29,1
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.",0,34,Babar,he,30,0
"The actress used to be named Terpsichore , but she changed it to Tina a few years ago, because she figured it was easier to pronounce.",6,21,Terpsichore,it,31,0
So Mark slept. It was daylight when he woke with Warren 's hand upon his shoulder.,10,14,Warren,his,32,0
"Fred covered his eyes with his hands , because the wind was blowing sand around. He lowered them when the wind stopped.",5,17,His hands,them,33,1
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place",20,53,old coachman,his,34,1
Joe paid the detective after he delivered the final report on the case.,0,5,Joe,he,35,0
"As Andrea in the crop duster passed over Susan , she could see the landing strip.",8,10,Susan,she,36,0
Frank was upset with Tom because the toaster he had bought from him didn't work.,4,8,Tom,he,37,0
"Lily spoke to Donna , breaking her silence.",3,6,Donna,her,38,0
"The cat was lying by the mouse hole waiting for the mouse , but it was too cautious.",0,14,The cat,it,39,0
"Equally swoon-worthy is C.K. Dexter Haven , a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet",5,21,Haven,his,40,1
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.",0,37,Sir Clifford,his,41,0
The fish ate the worm . It was tasty.,0,6,The fish,It,42,0
"Lionel is holding captive a scientist, Dr. Vardi , who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",0,27,Lionel,him,43,0
The city councilmen refused the demonstrators a permit because they feared violence.,0,9,The city councilmen,they,44,1
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,7,10,Bill,he,45,0
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,0,12,Bob,He,46,0
"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was slow.",6,11,Bill,his,47,0
Susan knows all about Ann 's personal problems because she is nosy.,0,9,Susan,she,48,1
Pete envies Martin because he is very successful.,0,4,Pete,he,49,0
Billy cried because Toby wouldn't share his toy.,0,6,Billy,his,50,0
I poured water from the bottle into the cup until it was full.,4,10,the bottle,it,51,0
"I used an old rag to clean the knife , and then I put it in the trash.",7,14,The knife,it,52,0
John hired Bill to take care of him .,2,7,Bill,him,53,0
"Jane knocked on the door, and Susan answered it. She invited her to come out.",0,9,Jane,She,54,1
"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.",0,9,The journalists,They,55,1
"As Ollie carried Tommy up the long winding steps, his legs ached.",1,9,Ollie,his,56,1
Carol believed that Rebecca regretted that she had stolen the watch.,3,6,Rebecca,she,57,1
Bob paid for Charlie 's college education. He is very generous.,3,7,Charlie,He,58,0
"All the buttons up the back of Dora 's plaid dress were buttoned outside-in. Maude should have thought to button her up; but no, she had left poor little Dora to do the best she could, alone.",7,34,Dora,she,59,1
"The table was piled high with food , and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.",11,13,floor,it,60,0
