sentence1,sentence2,label
Ian volunteered to eat Dennis's menudo after already having a bowl because Ian despised eating intestine.,Ian volunteered to eat Dennis's menudo after already having a bowl because Dennis despised eating intestine.,2
Ian volunteered to eat Dennis's menudo after already having a bowl because Ian enjoyed eating intestine.,Ian volunteered to eat Dennis's menudo after already having a bowl because Dennis enjoyed eating intestine.,2
"He never comes to my home, but I always go to his house because the home is smaller.","He never comes to my home, but I always go to his house because the house is smaller.",2
"He never comes to my home, but I always go to his house because the home is bigger.","He never comes to my home, but I always go to his house because the house is bigger.",2
"Kyle doesn't wear leg warmers to bed, while Logan almost always does. Kyle is more likely to live in a colder climate.","Kyle doesn't wear leg warmers to bed, while Logan almost always does. Logan is more likely to live in a colder climate.",2
"Kyle doesn't wear leg warmers to bed, while Logan almost always does. Kyle is more likely to live in a warmer climate.","Kyle doesn't wear leg warmers to bed, while Logan almost always does. Logan is more likely to live in a warmer climate.",2
The GPS and map helped me navigate home.  I got lost when the GPS got turned upside down.,The GPS and map helped me navigate home.  I got lost when the map got turned upside down.,2
The GPS and map helped me navigate home.  I got lost when the GPS got turned off.,The GPS and map helped me navigate home.  I got lost when the map got turned off.,2
"Emily looked up and saw Patricia racing by overhead, as Emily was on the ramp .","Emily looked up and saw Patricia racing by overhead, as Patricia was on the ramp .",2
"Emily looked up and saw Patricia racing by overhead, as Emily was under the ramp .","Emily looked up and saw Patricia racing by overhead, as Patricia was under the ramp .",2
The treasury workers took the gold bars off of the trolley and stacked them in the safe until the safe was empty.,The treasury workers took the gold bars off of the trolley and stacked them in the safe until the trolley was empty.,2
The treasury workers took the gold bars off of the trolley and stacked them in the safe until the safe was full.,The treasury workers took the gold bars off of the trolley and stacked them in the safe until the trolley was full.,2
"He thought he had time to take the scenic route to the store, but the route was under construction.","He thought he had time to take the scenic route to the store, but the store was under construction.",2
"He thought he had time to take the scenic route to the store, but the route was closed early.","He thought he had time to take the scenic route to the store, but the store was closed early.",2
She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the chair is quick.,She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the table is quick.,2
She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the chair is time consuming.,She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the table is time consuming.,2
"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the unconscious actions are voluntary.","To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the conscious actions are voluntary.",2
"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the unconscious actions are involuntary.","To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the conscious actions are involuntary.",2
Megan has a lot less money than Jessica because Megan just bought the winning lottery ticket.,Megan has a lot less money than Jessica because Jessica just bought the winning lottery ticket.,2
Megan has a lot more money than Jessica because Megan just bought the winning lottery ticket.,Megan has a lot more money than Jessica because Jessica just bought the winning lottery ticket.,2
I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the raisins for now.,I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the peanuts for now.,2
I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the raisins for now.,I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the peanuts for now.,2
Craig really loves to clean all the time but Derrick does not because Craig is very neat.,Craig really loves to clean all the time but Derrick does not because Derrick is very neat.,2
Craig really loves to clean all the time but Derrick does not because Craig is very untidy.,Craig really loves to clean all the time but Derrick does not because Derrick is very untidy.,2
Dennis gave his hammer to Robert so he could hammer the nails. Dennis had plenty of hammers.,Dennis gave his hammer to Robert so he could hammer the nails. Robert had plenty of hammers.,2
Dennis gave his hammer to Robert so he could hammer the nails. Dennis had no hammers.,Dennis gave his hammer to Robert so he could hammer the nails. Robert had no hammers.,2
The party was more interesting and uplifing than the funeral because the party was rigid.,The party was more interesting and uplifing than the funeral because the funeral was rigid.,2
The party was more interesting and uplifting than the funeral because the party was flexible.,The party was more interesting and uplifting than the funeral because the funeral was flexible.,2
The geese prefer to nest in the fields rather than the forests because in the fields predators are more hidden.,The geese prefer to nest in the fields rather than the forests because in the forests predators are more hidden.,2
The geese prefer to nest in the fields rather than the forests because in the fields predators are very visible.,The geese prefer to nest in the fields rather than the forests because in the forests predators are very visible.,2
"The plant took up too much room in the urn, because the plant was small.","The plant took up too much room in the urn, because the urn was small.",2
"The plant took up too much room in the urn, because the plant was large.","The plant took up too much room in the urn, because the urn was large.",2
"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the bird house was too low.","I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the ground was too low.",2
"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the bird house was too high.","I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the ground was too high.",2
I prefer spa to the pool and I find the cold water in the spa  not relaxing at the end of the day.,I prefer spa to the pool and I find the cold water in the pool  not relaxing at the end of the day.,2
I prefer spa to the pool and I find the hot water in the spa relaxing at the end of the day.,I prefer spa to the pool and I find the hot water in the pool relaxing at the end of the day.,2
Megan said it would be liberating to go out without makeup like Elena does. Megan never wore makeup when she left the house.,Megan said it would be liberating to go out without makeup like Elena does. Elena never wore makeup when she left the house.,2
Megan said it would be liberating to go out without makeup like Elena does. Megan always wore makeup when she left the house.,Megan said it would be liberating to go out without makeup like Elena does. Elena always wore makeup when she left the house.,2
Donald was richer than Leslie was because companies had found oil on the property of Donald .,Donald was richer than Leslie was because companies had found oil on the property of Leslie .,2
Donald was poorer than Leslie was because companies had found oil on the property of Donald .,Donald was poorer than Leslie was because companies had found oil on the property of Leslie .,2
"Feeling a draft, William asked Neil to please close the front door because William was closer.","Feeling a draft, William asked Neil to please close the front door because Neil was closer.",2
"Feeling a draft, William asked Neil to please close the front door because William was farther away.","Feeling a draft, William asked Neil to please close the front door because Neil was farther away.",2
Lindsey loved the taste of duck but Megan liked chicken better. Lindsey ordered the kung pao chicken for dinner.,Lindsey loved the taste of duck but Megan liked chicken better. Megan ordered the kung pao chicken for dinner.,2
Lindsey loved the taste of duck but Megan liked chicken better. Lindsey ordered the Peking Duck for dinner.,Lindsey loved the taste of duck but Megan liked chicken better. Megan ordered the Peking Duck for dinner.,2
Elena would grab their inventory in the back of the store for Megan to sell each time because Elena was a loyal customer.,Elena would grab their inventory in the back of the store for Megan to sell each time because Megan was a loyal customer.,2
Elena would grab their inventory in the back of the store for Megan to sell each time because Elena was a businessperson.,Elena would grab their inventory in the back of the store for Megan to sell each time because Megan was a businessperson.,2
"Kenneth asked Dennis what time the dance was being held, but Kenneth had forgotten.","Kenneth asked Dennis what time the dance was being held, but Dennis had forgotten.",2
"Kenneth asked Dennis what time the dance was being held, because Kenneth had forgotten.","Kenneth asked Dennis what time the dance was being held, because Dennis had forgotten.",2
"Eric was teaching all of the proper stretches to Neil, because Eric was using them to get paid.","Eric was teaching all of the proper stretches to Neil, because Neil was using them to get paid.",2
"Eric was teaching all of the proper stretches to Neil, because Eric was using them to get in shape.","Eric was teaching all of the proper stretches to Neil, because Neil was using them to get in shape.",2
"When buying a home, Patricia doesn't have as much money to spend as Tanya, so Patricia buys a 5 bedroom house.","When buying a home, Patricia doesn't have as much money to spend as Tanya, so Tanya buys a 5 bedroom house.",2
"When buying a home, Patricia doesn't have as much money to spend as Tanya, so Patricia buys a 1 bedroom house.","When buying a home, Patricia doesn't have as much money to spend as Tanya, so Tanya buys a 1 bedroom house.",2
"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The tweezer were too small.","I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The wristlet were too small.",2
"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The tweezer were too big.","I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The wristlet were too big.",2
Handling emergencies was never very difficult for Kevin but it was for Nelson because Kevin could remain calm under pressure.,Handling emergencies was never very difficult for Kevin but it was for Nelson because Nelson could remain calm under pressure.,2
Handling emergencies was never very difficult for Kevin but it was for Nelson because Kevin wasn't able to remain calm under pressure.,Handling emergencies was never very difficult for Kevin but it was for Nelson because Nelson wasn't able to remain calm under pressure.,2
"Emily asked her sister Sarah if she needed any tampons or pads from the store, even though Emily didn't because she had switched to using menstrual cups.","Emily asked her sister Sarah if she needed any tampons or pads from the store, even though Sarah didn't because she had switched to using menstrual cups.",2
"Emily asked her sister Sarah if she needed any tampons or pads from the store, but Emily didn't because she had switched to using menstrual cups.","Emily asked her sister Sarah if she needed any tampons or pads from the store, but Sarah didn't because she had switched to using menstrual cups.",2
"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since Elena was immune to allergies.","Elena had a horrendous coughing fit from the pollen, unlike Tanya , since Tanya was immune to allergies.",2
"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since Elena was susceptible to allergies.","Elena had a horrendous coughing fit from the pollen, unlike Tanya , since Tanya was susceptible to allergies.",2
"Rebecca picked up Amy to carpool to work every day, so Rebecca asked for some gas money.","Rebecca picked up Amy to carpool to work every day, so Amy asked for some gas money.",2
"Rebecca picked up Amy to carpool to work every day, so Rebecca offered some gas money.","Rebecca picked up Amy to carpool to work every day, so Amy offered some gas money.",2
Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  Jennifer was reassuring.,Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  Erin was reassuring.,2
Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  Jennifer was embarrassed.,Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  Erin was embarrassed.,2
The employees threw a party and drank so much alcohol that they could not go into work the next day. The party was loud.,The employees threw a party and drank so much alcohol that they could not go into work the next day. The alcohol was loud.,2
The employees threw a party and drank so much alcohol that they could not go into work the next day. The party was copious.,The employees threw a party and drank so much alcohol that they could not go into work the next day. The alcohol was copious.,2
"Once in Poland, Dennis enjoyed the trip more than Jason because Dennis had a shallow understanding of the Polish language.","Once in Poland, Dennis enjoyed the trip more than Jason because Jason had a shallow understanding of the Polish language.",2
"Once in Poland, Dennis enjoyed the trip more than Jason because Dennis had a deeper understanding of the Polish language.","Once in Poland, Dennis enjoyed the trip more than Jason because Jason had a deeper understanding of the Polish language.",2
"The house Benjamin designed for Joseph was beautiful, so Benjamin used it in his portfolio.","The house Benjamin designed for Joseph was beautiful, so Joseph used it in his portfolio.",2
"The house designed for Benjamin by Joseph was beautiful, so Benjamin used it in his portfolio.","The house designed for Benjamin by Joseph was beautiful, so Joseph used it in his portfolio.",2
John poured the entire bowl of fish into the hot pan on the stove until the bowl was full.,John poured the entire bowl of fish into the hot pan on the stove until the pan was full.,2
John poured the entire bowl of fish into the hot pan on the stove until the bowl was empty.,John poured the entire bowl of fish into the hot pan on the stove until the pan was empty.,2
Sue wanted to practice meditation so she went to the gym with her class but the class was too busy.,Sue wanted to practice meditation so she went to the gym with her class but the gym was too busy.,2
Sue wanted to practice meditation so she went to the gym with her class but the class was too late.,Sue wanted to practice meditation so she went to the gym with her class but the gym was too late.,2
Natalie thinks emeralds are beautiful gems but Betty does not. Natalie bought a necklace featuring a big diamond.,Natalie thinks emeralds are beautiful gems but Betty does not. Betty bought a necklace featuring a big diamond.,2
Natalie thinks emeralds are beautiful gems but Betty does not. Natalie bought a necklace featuring a big emerald.,Natalie thinks emeralds are beautiful gems but Betty does not. Betty bought a necklace featuring a big emerald.,2
Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  Aaron was happy for him.,Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  Benjamin was happy for him.,2
Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  Aaron was happy for himself.,Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  Benjamin was happy for himself.,2
"Kevin is far more physically versatile than Nick, because Kevin is an injured athlete in bed.","Kevin is far more physically versatile than Nick, because Nick is an injured athlete in bed.",2
"Kevin is far more physically versatile than Nick, because Kevin is a seasoned athlete in training.","Kevin is far more physically versatile than Nick, because Nick is a seasoned athlete in training.",2
Adam put handwash only clothes in the washer but Aaron washed them by hand as Adam was lazy.,Adam put handwash only clothes in the washer but Aaron washed them by hand as Aaron was lazy.,2
Adam put handwash only clothes in the washer but Aaron washed them by hand as Adam was conscientious.,Adam put handwash only clothes in the washer but Aaron washed them by hand as Aaron was conscientious.,2
Kyle loves the flavor of apricots but Matthew likes plums better. Kyle couldn't wait for plum season.,Kyle loves the flavor of apricots but Matthew likes plums better. Matthew couldn't wait for plum season.,2
Kyle loves the flavor of apricots but Matthew likes plums better. Kyle couldn't wait for apricot season.,Kyle loves the flavor of apricots but Matthew likes plums better. Matthew couldn't wait for apricot season.,2
"Derrick was unable to stay focused at work unlike Justin, because Derrick had a fun job.","Derrick was unable to stay focused at work unlike Justin, because Justin had a fun job.",2
"Derrick was unable to stay focused at work unlike Justin, because Derrick had a boring job.","Derrick was unable to stay focused at work unlike Justin, because Justin had a boring job.",2
"Avery was debating on taking up German instead of Latin, because the Latin was newer.","Avery was debating on taking up German instead of Latin, because the German was newer.",2
"Avery was debating on taking up German instead of Latin, because the Latin was old.","Avery was debating on taking up German instead of Latin, because the German was old.",2
"Kayla dated many more people at once than Betty, because Kayla was in an open relationship.","Kayla dated many more people at once than Betty, because Betty was in an open relationship.",2
"Kayla dated many more people at once than Betty, because Kayla was in an exclusive relationship.","Kayla dated many more people at once than Betty, because Betty was in an exclusive relationship.",2
Steven proudly showed Michael the mangoes he grew himself all this summer.  Steven is hardworking.,Steven proudly showed Michael the mangoes he grew himself all this summer.  Michael is hardworking.,2
Steven proudly showed Michael the mangoes he grew himself all this summer.  Steven is astonished.,Steven proudly showed Michael the mangoes he grew himself all this summer.  Michael is astonished.,2
"The letter that Joel has written is being read by Adam, so Joel is the writer.","The letter that Joel has written is being read by Adam, so Adam is the writer.",2
"The letter that Joel has written is being read by Adam, so Joel is the editor.","The letter that Joel has written is being read by Adam, so Adam is the editor.",2
"Kyle was more comfortable speaking in front of large groups than Nick, because Kyle had taken public speaking courses in college.","Kyle was more comfortable speaking in front of large groups than Nick, because Nick had taken public speaking courses in college.",2
"Kyle was more comfortable speaking in front of large groups than Nick, because Kyle was not able to take public speaking courses in college.","Kyle was more comfortable speaking in front of large groups than Nick, because Nick was not able to take public speaking courses in college.",2
In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. Emily was very hesitant with showing their body.,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. Felicia was very hesitant with showing their body.,2
In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. Emily was very free with showing their body.,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. Felicia was very free with showing their body.,2
Sarah Jane's watch smashed when the book hit it since the watch was too strong.,Sarah Jane's watch smashed when the book hit it since the book was too strong.,2
Sarah Jane's watch smashed when the book hit it since the watch was too weak.,Sarah Jane's watch smashed when the book hit it since the book was too weak.,2
"Joseph had to have well manicured nails for work, but not Kevin, because Joseph worked at a bank.","Joseph had to have well manicured nails for work, but not Kevin, because Kevin worked at a bank.",2
"Joseph had to have well manicured nails for work, but not Kevin, because Joseph worked at a farm.","Joseph had to have well manicured nails for work, but not Kevin, because Kevin worked at a farm.",2
"While out playing golf, Dennis fell in the mud, but Christopher kept their balance because Dennis had spiked shoes on.","While out playing golf, Dennis fell in the mud, but Christopher kept their balance because Christopher had spiked shoes on.",2
"While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because Dennis had slippery shoes on.","While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because Christopher had slippery shoes on.",2
"I couldn't control the moisture like I controlled the rain, because the moisture was coming in at one spot.","I couldn't control the moisture like I controlled the rain, because the rain was coming in at one spot.",2
"I couldn't control the moisture like I controlled the rain, because the moisture was coming in everywhere.","I couldn't control the moisture like I controlled the rain, because the rain was coming in everywhere.",2
"Leslie was fascinated with collecting new shoes compared to Derrick, because Leslie loved fashion trends.","Leslie was fascinated with collecting new shoes compared to Derrick, because Derrick loved fashion trends.",2
"Leslie was fascinated with collecting new shoes compared to Derrick, because Leslie hated fashion trends.","Leslie was fascinated with collecting new shoes compared to Derrick, because Derrick hated fashion trends.",2
Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. Jessica bought a ticket to the jazz concert.,Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. Patricia bought a ticket to the jazz concert.,2
Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. Jessica bought a ticket to the Darude rave.,Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. Patricia bought a ticket to the Darude rave.,2
Bill poured the entire bowl of cheese snack into his mouth until the mouth was empty.,Bill poured the entire bowl of cheese snack into his mouth until the bowl was empty.,2
Bill poured the entire bowl of cheese snack into his mouth until the mouth was full.,Bill poured the entire bowl of cheese snack into his mouth until the bowl was full.,2
"Ben played soccer and bowling every week. However, it was easy for him to play in the bowling game because he hurt his arm.","Ben played soccer and bowling every week. However, it was easy for him to play in the soccer game because he hurt his arm.",2
"Ben played soccer and bowling every week. However, it was difficult for him to play in the bowling game because he hurt his arm.","Ben played soccer and bowling every week. However, it was difficult for him to play in the soccer game because he hurt his arm.",2
Nick had a bigger dog than Craig because Nick fed their dog much more food.,Nick had a bigger dog than Craig because Craig fed their dog much more food.,2
