"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[lovingly]] photographed in the manner of a golden book sprung to life , stuart little 2 [[manages]] sweetness largely without stickiness .","[[affectionately]] photographed in the manner of a golden book sprung to life , stuart little 2 [[administration]] sweetness largely without stickiness .",0.06227904558181763,0.7616332173347473,1,0,1,86,"Successful"
"consistently clever and [[suspenseful]] .","consistently clever and [[nightmarish]] .",0.04946339130401611,0.5105619430541992,1,0,1,10,"Successful"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.8551867008209229,0.8551867008209229,0,0,1,1,"Skipped"
"the story [[gives]] ample opportunity for large-scale action and suspense , which director [[shekhar]] kapur supplies with [[tremendous]] [[skill]] .","the story [[offered]] ample opportunity for large-scale action and suspense , which director [[tarun]] kapur supplies with [[huge]] [[jurisdictional]] .",0.05716019868850708,0.5231626033782959,1,0,1,183,"Successful"
"red dragon "" never cuts corners .","red dragon "" never cuts corners .",0.8517829775810242,0.8517829775810242,0,0,1,1,"Skipped"
"fresnadillo has something serious to say about the [[ways]] in which extravagant chance can distort our perspective and throw us off the path of good sense .","fresnadillo has something serious to say about the [[modo]] in which extravagant chance can distort our perspective and throw us off the path of good sense .",0.18906331062316895,0.6578210592269897,1,0,1,32,"Successful"
"throws in enough [[clever]] and unexpected twists to make the formula feel [[fresh]] .","throws in enough [[malignant]] and unexpected twists to make the formula feel [[soft]] .",0.09000509977340698,0.8394386768341064,1,0,1,44,"Successful"
"weighty and ponderous but every bit as filling as the treat of the title .","weighty and ponderous but every bit as filling as the treat of the title .",0.8630858659744263,0.8630858659744263,0,0,1,1,"Skipped"
"a [[real]] audience-pleaser that [[will]] strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[hardheaded]] audience-pleaser that [[go]] strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.07337874174118042,0.662598729133606,1,0,1,63,"Successful"
"generates an [[enormous]] feeling of empathy for its [[characters]] .","generates an [[gargantuan]] feeling of empathy for its [[specifications]] .",0.05256152153015137,0.897855818271637,1,0,1,86,"Successful"
"exposing the ways we fool ourselves is one hour photo's real [[strength]] .","exposing the ways we fool ourselves is one hour photo's real [[kraft]] .",0.06316721439361572,0.6355642080307007,1,0,1,39,"Successful"
"it's up to you to decide whether to admire these people's [[dedication]] to their cause or be [[repelled]] by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's [[betrothal]] to their cause or be [[adjourn]] by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.15132910013198853,0.5106261968612671,1,0,1,84,"Successful"
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .","mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",0.8159353137016296,0.8159353137016296,0,0,1,1,"Skipped"
". . . quite [[good]] at providing some good old fashioned spooks .",". . . quite [[advisable]] at providing some good old fashioned spooks .",0.3727952241897583,0.8312431573867798,1,0,1,28,"Successful"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.879579484462738,0.879579484462738,0,0,1,1,"Skipped"
"scherfig's light-hearted [[profile]] of emotional desperation is achingly [[honest]] and [[delightfully]] cheeky .","scherfig's light-hearted [[described]] of emotional desperation is achingly [[vera]] and [[blithely]] cheeky .",0.0464634895324707,0.5135093927383423,1,0,1,106,"Successful"
"a journey [[spanning]] nearly three [[decades]] of bittersweet camaraderie and [[history]] , in which we [[feel]] that we [[truly]] know what makes holly and marina tick , and our hearts [[go]] out to them as both continue to negotiate their imperfect , love-hate [[relationship]] .","a journey [[expansion]] nearly three [[contracted]] of bittersweet camaraderie and [[bygone]] , in which we [[olfactory]] that we [[altogether]] know what makes holly and marina tick , and our hearts [[disappear]] out to them as both continue to negotiate their imperfect , love-hate [[relation]] .",0.04757112264633179,0.5004088878631592,1,0,1,257,"Successful"
"the [[wonderfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the [[appallingly]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.09245580434799194,0.7453942894935608,1,0,1,62,"Successful"
"as it turns out , you can go [[home]] again .","as it turns out , you can go [[shelters]] again .",0.24515891075134277,0.7230777144432068,1,0,1,33,"Successful"
"you've already [[seen]] [[city]] by the [[sea]] under a [[variety]] of [[titles]] , but it's worth yet another [[visit]] .","you've already [[consulted]] [[shing]] by the [[mers]] under a [[differing]] of [[securities]] , but it's worth yet another [[traveled]] .",0.12716788053512573,0.5159666538238525,1,0,1,149,"Successful"
"this kind of hands-on [[storytelling]] is ultimately what makes [[shanghai]] ghetto [[move]] beyond a good , dry , reliable textbook and what [[allows]] it to rank with its worthy predecessors .","this kind of hands-on [[myth]] is ultimately what makes [[nanking]] ghetto [[relocation]] beyond a good , dry , reliable textbook and what [[allowing]] it to rank with its worthy predecessors .",0.06321030855178833,0.54871666431427,1,0,1,157,"Successful"
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no [[doubt]] intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no [[suspecting]] intended the film to affirm love's power to help people endure almost unimaginable horror .",0.38580697774887085,0.5425995588302612,1,0,1,31,"Successful"
"grown-up quibbles are beside the point here . the little girls [[understand]] , and mccracken [[knows]] that's all that matters .","grown-up quibbles are beside the point here . the little girls [[understanding]] , and mccracken [[knowing]] that's all that matters .",0.24858969449996948,0.7841459512710571,1,0,1,67,"Successful"
"a [[powerful]] , chilling , and affecting [[study]] of one man's dying [[fall]] .","a [[pompous]] , chilling , and affecting [[scrutinized]] of one man's dying [[decreased]] .",0.04926431179046631,0.8600273728370667,1,0,1,137,"Successful"
"this is a fascinating film because there is no clear-cut hero and no all-out villain .","this is a fascinating film because there is no clear-cut hero and no all-out villain .",0.5563927888870239,0.5563927888870239,0,0,1,1,"Skipped"
"a dreadful day in irish history is given passionate , if somewhat flawed , treatment .","a dreadful day in irish history is given passionate , if somewhat flawed , treatment .",0.6486241817474365,0.6486241817474365,0,0,1,1,"Skipped"
". . . a good film that must have baffled the folks in the marketing department .",". . . a good film that must have baffled the folks in the marketing department .",0.8429632186889648,0.8429632186889648,0,0,1,1,"Skipped"
". . . is [[funny]] in the way that makes you ache with sadness ( the way [[chekhov]] is [[funny]] ) , [[profound]] without ever being self-important , warm without ever [[succumbing]] to [[sentimentality]] .",". . . is [[outlandish]] in the way that makes you ache with sadness ( the way [[brecht]] is [[bizarre]] ) , [[root]] without ever being self-important , warm without ever [[succumbed]] to [[bunch]] .",0.05785781145095825,0.5154330134391785,1,0,1,100,"Successful"
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .","devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",0.8930939435958862,0.8930939435958862,0,0,1,1,"Skipped"
"a soul-stirring documentary about the [[israeli]]/[[palestinian]] [[conflict]] as [[revealed]] through the [[eyes]] of some [[children]] who [[remain]] [[curious]] about [[each]] other against all [[odds]] .","a soul-stirring documentary about the [[lsrael]]/[[arafat]] [[tussle]] as [[disclosing]] through the [[squinting]] of some [[toddler]] who [[kept]] [[extravagant]] about [[any]] other against all [[hazard]] .",0.043575167655944824,0.12450838088989258,1,1,1,267,"Failed"
"what's so [[striking]] about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .","what's so [[whopping]] about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .",0.21929895877838135,0.7148084044456482,1,0,1,22,"Successful"
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .","the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",0.8497982025146484,0.8497982025146484,0,0,1,1,"Skipped"
"the performances are [[immaculate]] , with roussillon providing comic relief .","the performances are [[spotless]] , with roussillon providing comic relief .",0.0761151909828186,0.8515257835388184,1,0,1,26,"Successful"
"kinnear . . . [[gives]] his best screen performance with an oddly [[winning]] portrayal of one of life's ultimate losers .","kinnear . . . [[donne]] his best screen performance with an oddly [[earning]] portrayal of one of life's ultimate losers .",0.06878149509429932,0.5876772403717041,1,0,1,73,"Successful"
