id,premise,hypothesis,label
0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,1
3,Children smiling and waving at camera,They are smiling at their parents,1
6,A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,0
9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,1
12,Two blond women are hugging one another.,Some women are hugging on vacation.,1
15,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,1
18,An older man is drinking orange juice at a restaurant.,A man is drinking juice.,2
21,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,1
24,Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,0
27,"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",1
30,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,1
33,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,0
36,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,0
39,"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.",1
42,People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,1
45,A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,2
48,A couple play in the tide with their young son.,The family is sitting down for dinner.,0
51,A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,0
54,A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,0
57,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,1
60,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,2
63,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,2
